t,motion_energy,omega_w,max_abs_z
842,5.146639e-08,-2.420182e-05,4.303455e-01
843,5.109011e-08,-2.399826e-05,4.304099e-01
844,5.071489e-08,-2.379516e-05,4.304735e-01
845,5.034081e-08,-2.359255e-05,4.305365e-01
846,4.996791e-08,-2.339044e-05,4.305988e-01
847,4.959623e-08,-2.318886e-05,4.306605e-01
848,4.922583e-08,-2.298783e-05,4.307214e-01
849,4.885675e-08,-2.278737e-05,4.307818e-01
850,4.848903e-08,-2.258750e-05,4.308414e-01
851,4.812271e-08,-2.238824e-05,4.309005e-01
852,4.775784e-08,-2.218961e-05,4.309589e-01
853,4.739445e-08,-2.199162e-05,4.310166e-01
854,4.703257e-08,-2.179430e-05,4.310738e-01
855,4.667224e-08,-2.159766e-05,4.311303e-01
856,4.631350e-08,-2.140172e-05,4.311863e-01
857,4.595636e-08,-2.120650e-05,4.312416e-01
858,4.560087e-08,-2.101201e-05,4.312964e-01
859,4.524705e-08,-2.081827e-05,4.313505e-01
860,4.489491e-08,-2.062530e-05,4.314041e-01
861,4.454450e-08,-2.043311e-05,4.314571e-01
862,4.419583e-08,-2.024172e-05,4.315095e-01
863,4.384891e-08,-2.005114e-05,4.315614e-01
864,4.350378e-08,-1.986138e-05,4.316127e-01
865,4.316045e-08,-1.967247e-05,4.316634e-01
866,4.281894e-08,-1.948441e-05,4.317136e-01
867,4.247926e-08,-1.929721e-05,4.317633e-01
868,4.214143e-08,-1.911089e-05,4.318124e-01
869,4.180547e-08,-1.892547e-05,4.318610e-01
870,4.147138e-08,-1.874094e-05,4.319090e-01
871,4.113918e-08,-1.855733e-05,4.319566e-01
872,4.080887e-08,-1.837465e-05,4.320036e-01
873,4.048048e-08,-1.819290e-05,4.320501e-01
874,4.015400e-08,-1.801211e-05,4.320961e-01
875,3.982945e-08,-1.783226e-05,4.321416e-01
876,3.950684e-08,-1.765339e-05,4.321866e-01
877,3.918616e-08,-1.747549e-05,4.322311e-01
878,3.886743e-08,-1.729858e-05,4.322752e-01
879,3.855064e-08,-1.712266e-05,4.323187e-01
880,3.823582e-08,-1.694775e-05,4.323618e-01
881,3.792295e-08,-1.677385e-05,4.324044e-01
882,3.761204e-08,-1.660096e-05,4.324465e-01
883,3.730309e-08,-1.642910e-05,4.324882e-01
884,3.699611e-08,-1.625828e-05,4.325294e-01
885,3.669110e-08,-1.608849e-05,4.325701e-01
886,3.638805e-08,-1.591976e-05,4.326104e-01
887,3.608697e-08,-1.575207e-05,4.326502e-01
888,3.578786e-08,-1.558545e-05,4.326896e-01
889,3.549071e-08,-1.541989e-05,4.327286e-01
890,3.519553e-08,-1.525540e-05,4.327671e-01
891,3.490231e-08,-1.509198e-05,4.328052e-01
892,3.461105e-08,-1.492964e-05,4.328428e-01
893,3.432176e-08,-1.476839e-05,4.328800e-01
894,3.403441e-08,-1.460822e-05,4.329169e-01
895,3.374903e-08,-1.444915e-05,4.329532e-01
896,3.346559e-08,-1.429117e-05,4.329892e-01
897,3.318410e-08,-1.413429e-05,4.330248e-01
898,3.290455e-08,-1.397852e-05,4.330599e-01
899,3.262694e-08,-1.382384e-05,4.330947e-01
900,3.235127e-08,-1.367027e-05,4.331290e-01
901,3.207753e-08,-1.351781e-05,4.331630e-01
902,3.180571e-08,-1.336646e-05,4.331966e-01
903,3.153581e-08,-1.321623e-05,4.332297e-01
904,3.126783e-08,-1.306710e-05,4.332625e-01
905,3.100176e-08,-1.291908e-05,4.332949e-01
906,3.073759e-08,-1.277218e-05,4.333269e-01
907,3.047532e-08,-1.262639e-05,4.333586e-01
908,3.021494e-08,-1.248171e-05,4.333898e-01
909,2.995646e-08,-1.233813e-05,4.334207e-01
910,2.969985e-08,-1.219567e-05,4.334513e-01
911,2.944512e-08,-1.205432e-05,4.334814e-01
912,2.919226e-08,-1.191406e-05,4.335112e-01
913,2.894126e-08,-1.177492e-05,4.335407e-01
914,2.869212e-08,-1.163687e-05,4.335698e-01
915,2.844483e-08,-1.149992e-05,4.335985e-01
916,2.819938e-08,-1.136408e-05,4.336269e-01
917,2.795577e-08,-1.122934e-05,4.336549e-01
918,2.771398e-08,-1.109570e-05,4.336826e-01
919,2.747403e-08,-1.096316e-05,4.337100e-01
920,2.723588e-08,-1.083174e-05,4.337370e-01
921,2.699955e-08,-1.070143e-05,4.337636e-01
922,2.676502e-08,-1.057224e-05,4.337900e-01
923,2.653228e-08,-1.044417e-05,4.338160e-01
924,2.630133e-08,-1.031722e-05,4.338417e-01
925,2.607216e-08,-1.019139e-05,4.338670e-01
926,2.584477e-08,-1.006668e-05,4.338920e-01
927,2.561914e-08,-9.943100e-06,4.339168e-01
928,2.539527e-08,-9.820633e-06,4.339411e-01
929,2.517315e-08,-9.699280e-06,4.339652e-01
930,2.495278e-08,-9.579036e-06,4.339890e-01
931,2.473414e-08,-9.459897e-06,4.340124e-01
932,2.451723e-08,-9.341857e-06,4.340356e-01
933,2.430204e-08,-9.224912e-06,4.340584e-01
934,2.408856e-08,-9.109055e-06,4.340809e-01
935,2.387680e-08,-8.994283e-06,4.341031e-01
936,2.366672e-08,-8.880590e-06,4.341251e-01
937,2.345834e-08,-8.767970e-06,4.341467e-01
938,2.325164e-08,-8.656420e-06,4.341680e-01
939,2.304662e-08,-8.545933e-06,4.341891e-01
940,2.284326e-08,-8.436506e-06,4.342098e-01
941,2.264156e-08,-8.328134e-06,4.342303e-01
942,2.244151e-08,-8.220811e-06,4.342505e-01
943,2.224311e-08,-8.114533e-06,4.342704e-01
944,2.204634e-08,-8.009296e-06,4.342900e-01
945,2.185119e-08,-7.905094e-06,4.343093e-01
946,2.165766e-08,-7.801922e-06,4.343284e-01
947,2.146575e-08,-7.699776e-06,4.343472e-01
948,2.127543e-08,-7.598651e-06,4.343657e-01
949,2.108671e-08,-7.498542e-06,4.343839e-01
950,2.089957e-08,-7.399444e-06,4.344019e-01
951,2.071401e-08,-7.301352e-06,4.344196e-01
952,2.053002e-08,-7.204261e-06,4.344370e-01
953,2.034759e-08,-7.108166e-06,4.344542e-01
954,2.016671e-08,-7.013061e-06,4.344711e-01
955,1.998737e-08,-6.918941e-06,4.344878e-01
956,1.980957e-08,-6.825801e-06,4.345042e-01
957,1.963329e-08,-6.733636e-06,4.345203e-01
958,1.945853e-08,-6.642441e-06,4.345362e-01
959,1.928527e-08,-6.552209e-06,4.345518e-01
960,1.911352e-08,-6.462936e-06,4.345672e-01
961,1.894326e-08,-6.374616e-06,4.345824e-01
962,1.877448e-08,-6.287243e-06,4.345973e-01
963,1.860717e-08,-6.200811e-06,4.346119e-01
964,1.844132e-08,-6.115316e-06,4.346263e-01
965,1.827694e-08,-6.030752e-06,4.346405e-01
966,1.811399e-08,-5.947112e-06,4.346544e-01
967,1.795249e-08,-5.864391e-06,4.346681e-01
968,1.779241e-08,-5.782583e-06,4.346816e-01
969,1.763375e-08,-5.701683e-06,4.346948e-01
970,1.747651e-08,-5.621684e-06,4.347078e-01
971,1.732066e-08,-5.542581e-06,4.347205e-01
972,1.716620e-08,-5.464368e-06,4.347331e-01
973,1.701313e-08,-5.387039e-06,4.347454e-01
974,1.686143e-08,-5.310588e-06,4.347575e-01
975,1.671110e-08,-5.235009e-06,4.347693e-01
976,1.656212e-08,-5.160295e-06,4.347810e-01
977,1.641448e-08,-5.086442e-06,4.347924e-01
978,1.626818e-08,-5.013443e-06,4.348036e-01
979,1.612321e-08,-4.941292e-06,4.348146e-01
980,1.597956e-08,-4.869983e-06,4.348254e-01
981,1.583722e-08,-4.799510e-06,4.348359e-01
982,1.569617e-08,-4.729866e-06,4.348463e-01
983,1.555641e-08,-4.661047e-06,4.348564e-01
984,1.541794e-08,-4.593045e-06,4.348663e-01
985,1.528073e-08,-4.525855e-06,4.348761e-01
986,1.514479e-08,-4.459471e-06,4.348856e-01
987,1.501010e-08,-4.393885e-06,4.348949e-01
988,1.487665e-08,-4.329094e-06,4.349040e-01
989,1.474443e-08,-4.265089e-06,4.349129e-01
990,1.461344e-08,-4.201866e-06,4.349216e-01
991,1.448366e-08,-4.139418e-06,4.349301e-01
992,1.435509e-08,-4.077739e-06,4.349385e-01
993,1.422771e-08,-4.016822e-06,4.349466e-01
994,1.410152e-08,-3.956663e-06,4.349545e-01
995,1.397651e-08,-3.897254e-06,4.349623e-01
996,1.385266e-08,-3.838590e-06,4.349698e-01
997,1.372997e-08,-3.780664e-06,4.349772e-01
998,1.360843e-08,-3.723471e-06,4.349843e-01
999,1.348803e-08,-3.667005e-06,4.349913e-01
1000,1.336875e-08,-3.611259e-06,4.349981e-01
1001,1.325060e-08,-3.556227e-06,4.350047e-01
1002,1.313356e-08,-3.501903e-06,4.350112e-01
1003,1.301762e-08,-3.448282e-06,4.350174e-01
1004,1.290277e-08,-3.395358e-06,4.350235e-01
1005,1.278901e-08,-3.343123e-06,4.350294e-01
1006,1.267632e-08,-3.291573e-06,4.350352e-01
1007,1.256469e-08,-3.240702e-06,4.350407e-01
1008,1.245412e-08,-3.190503e-06,4.350461e-01
1009,1.234459e-08,-3.140970e-06,4.350513e-01
1010,1.223610e-08,-3.092099e-06,4.350563e-01
1011,1.212864e-08,-3.043882e-06,4.350612e-01
1012,1.202220e-08,-2.996314e-06,4.350659e-01
1013,1.191677e-08,-2.949389e-06,4.350704e-01
1014,1.181233e-08,-2.903101e-06,4.350748e-01
1015,1.170889e-08,-2.857445e-06,4.350790e-01
1016,1.160644e-08,-2.812415e-06,4.350830e-01
1017,1.150495e-08,-2.768004e-06,4.350869e-01
1018,1.140443e-08,-2.724207e-06,4.350906e-01
1019,1.130487e-08,-2.681019e-06,4.350942e-01
1020,1.120625e-08,-2.638434e-06,4.350976e-01
1021,1.110857e-08,-2.596446e-06,4.351008e-01
1022,1.101182e-08,-2.555049e-06,4.351039e-01
1023,1.091600e-08,-2.514238e-06,4.351069e-01
1024,1.082108e-08,-2.474007e-06,4.351097e-01
1025,1.072707e-08,-2.434350e-06,4.351123e-01
1026,1.063395e-08,-2.395263e-06,4.351148e-01
1027,1.054172e-08,-2.356739e-06,4.351171e-01
1028,1.045037e-08,-2.318774e-06,4.351193e-01
1029,1.035989e-08,-2.281360e-06,4.351213e-01
1030,1.027026e-08,-2.244494e-06,4.351232e-01
1031,1.018150e-08,-2.208170e-06,4.351250e-01
1032,1.009357e-08,-2.172382e-06,4.351266e-01
1033,1.000649e-08,-2.137125e-06,4.351281e-01
1034,9.920229e-09,-2.102393e-06,4.351294e-01
1035,9.834792e-09,-2.068182e-06,4.351306e-01
1036,9.750167e-09,-2.034486e-06,4.351316e-01
1037,9.666346e-09,-2.001299e-06,4.351325e-01
1038,9.583322e-09,-1.968617e-06,4.351333e-01
1039,9.501086e-09,-1.936435e-06,4.351340e-01
1040,9.419632e-09,-1.904747e-06,4.351345e-01
1041,9.338950e-09,-1.873547e-06,4.351348e-01
1042,9.259034e-09,-1.842832e-06,4.351351e-01
1043,9.179876e-09,-1.812596e-06,4.351352e-01
1044,9.101467e-09,-1.782834e-06,4.351352e-01
1045,9.023802e-09,-1.753540e-06,4.351350e-01
1046,8.946872e-09,-1.724711e-06,4.351348e-01
1047,8.870669e-09,-1.696340e-06,4.351344e-01
1048,8.795187e-09,-1.668424e-06,4.351339e-01
1049,8.720418e-09,-1.640956e-06,4.351332e-01
1050,8.646356e-09,-1.613934e-06,4.351324e-01
1051,8.572992e-09,-1.587350e-06,4.351316e-01
1052,8.500320e-09,-1.561202e-06,4.351306e-01
1053,8.428332e-09,-1.535483e-06,4.351294e-01
1054,8.357023e-09,-1.510190e-06,4.351282e-01
1055,8.286384e-09,-1.485317e-06,4.351268e-01
1056,8.216409e-09,-1.460860e-06,4.351253e-01
1057,8.147091e-09,-1.436814e-06,4.351237e-01
1058,8.078424e-09,-1.413176e-06,4.351220e-01
1059,8.010401e-09,-1.389939e-06,4.351202e-01
1060,7.943015e-09,-1.367100e-06,4.351183e-01
1061,7.876259e-09,-1.344654e-06,4.351162e-01
1062,7.810128e-09,-1.322597e-06,4.351141e-01
1063,7.744615e-09,-1.300924e-06,4.351118e-01
1064,7.679713e-09,-1.279631e-06,4.351094e-01
1065,7.615416e-09,-1.258714e-06,4.351070e-01
1066,7.551718e-09,-1.238167e-06,4.351044e-01
1067,7.488613e-09,-1.217988e-06,4.351017e-01
1068,7.426094e-09,-1.198171e-06,4.350989e-01
1069,7.364156e-09,-1.178713e-06,4.350960e-01
1070,7.302793e-09,-1.159609e-06,4.350930e-01
1071,7.241998e-09,-1.140854e-06,4.350899e-01
1072,7.181766e-09,-1.122446e-06,4.350867e-01
1073,7.122091e-09,-1.104380e-06,4.350834e-01
1074,7.062967e-09,-1.086651e-06,4.350800e-01
1075,7.004389e-09,-1.069256e-06,4.350765e-01
1076,6.946351e-09,-1.052190e-06,4.350729e-01
1077,6.888847e-09,-1.035451e-06,4.350692e-01
1078,6.831872e-09,-1.019033e-06,4.350654e-01
1079,6.775420e-09,-1.002933e-06,4.350616e-01
1080,6.719486e-09,-9.871466e-07,4.350576e-01
1081,6.664065e-09,-9.716708e-07,4.350535e-01
1082,6.609151e-09,-9.565012e-07,4.350494e-01
1083,6.554739e-09,-9.416343e-07,4.350451e-01
1084,6.500824e-09,-9.270662e-07,4.350408e-01
1085,6.447401e-09,-9.127932e-07,4.350364e-01
1086,6.394464e-09,-8.988116e-07,4.350319e-01
1087,6.342010e-09,-8.851178e-07,4.350273e-01
1088,6.290032e-09,-8.717082e-07,4.350226e-01
1089,6.238526e-09,-8.585792e-07,4.350178e-01
1090,6.187487e-09,-8.457272e-07,4.350130e-01
1091,6.136910e-09,-8.331487e-07,4.350080e-01
1092,6.086791e-09,-8.208402e-07,4.350030e-01
1093,6.037125e-09,-8.087983e-07,4.349979e-01
1094,5.987907e-09,-7.970195e-07,4.349927e-01
1095,5.939133e-09,-7.855003e-07,4.349875e-01
1096,5.890797e-09,-7.742375e-07,4.349822e-01
1097,5.842897e-09,-7.632277e-07,4.349767e-01
1098,5.795426e-09,-7.524675e-07,4.349712e-01
1099,5.748382e-09,-7.419537e-07,4.349657e-01
1100,5.701758e-09,-7.316831e-07,4.349600e-01
1101,5.655553e-09,-7.216523e-07,4.349543e-01
1102,5.609760e-09,-7.118581e-07,4.349485e-01
1103,5.564376e-09,-7.022975e-07,4.349427e-01
1104,5.519396e-09,-6.929672e-07,4.349367e-01
1105,5.474817e-09,-6.838642e-07,4.349307e-01
1106,5.430635e-09,-6.749852e-07,4.349246e-01
1107,5.386846e-09,-6.663274e-07,4.349185e-01
1108,5.343444e-09,-6.578875e-07,4.349122e-01
1109,5.300428e-09,-6.496627e-07,4.349060e-01
1110,5.257793e-09,-6.416499e-07,4.348996e-01
1111,5.215534e-09,-6.338461e-07,4.348932e-01
1112,5.173649e-09,-6.262484e-07,4.348867e-01
1113,5.132134e-09,-6.188540e-07,4.348801e-01
1114,5.090984e-09,-6.116599e-07,4.348735e-01
1115,5.050196e-09,-6.046633e-07,4.348668e-01
1116,5.009768e-09,-5.978613e-07,4.348601e-01
1117,4.969694e-09,-5.912513e-07,4.348532e-01
1118,4.929972e-09,-5.848303e-07,4.348464e-01
1119,4.890598e-09,-5.785958e-07,4.348394e-01
1120,4.851568e-09,-5.725449e-07,4.348324e-01
1121,4.812880e-09,-5.666751e-07,4.348254e-01
1122,4.774530e-09,-5.609836e-07,4.348182e-01
1123,4.736514e-09,-5.554678e-07,4.348111e-01
1124,4.698830e-09,-5.501252e-07,4.348038e-01
1125,4.661474e-09,-5.449532e-07,4.347965e-01
1126,4.624443e-09,-5.399493e-07,4.347892e-01
1127,4.587733e-09,-5.351109e-07,4.347818e-01
1128,4.551342e-09,-5.304356e-07,4.347743e-01
1129,4.515267e-09,-5.259210e-07,4.347668e-01
1130,4.479504e-09,-5.215645e-07,4.347593e-01
1131,4.444050e-09,-5.173638e-07,4.347516e-01
1132,4.408903e-09,-5.133166e-07,4.347440e-01
1133,4.374059e-09,-5.094204e-07,4.347362e-01
1134,4.339516e-09,-5.056730e-07,4.347285e-01
1135,4.305270e-09,-5.020720e-07,4.347206e-01
1136,4.271320e-09,-4.986152e-07,4.347128e-01
1137,4.237661e-09,-4.953004e-07,4.347048e-01
1138,4.204292e-09,-4.921252e-07,4.346968e-01
1139,4.171209e-09,-4.890875e-07,4.346888e-01
1140,4.138410e-09,-4.861851e-07,4.346808e-01
1141,4.105892e-09,-4.834159e-07,4.346726e-01
1142,4.073652e-09,-4.807776e-07,4.346645e-01
1143,4.041688e-09,-4.782683e-07,4.346563e-01
1144,4.009997e-09,-4.758857e-07,4.346480e-01
1145,3.978577e-09,-4.736279e-07,4.346397e-01
1146,3.947425e-09,-4.714928e-07,4.346314e-01
1147,3.916538e-09,-4.694783e-07,4.346230e-01
1148,3.885915e-09,-4.675825e-07,4.346145e-01
1149,3.855552e-09,-4.658033e-07,4.346061e-01
1150,3.825447e-09,-4.641388e-07,4.345976e-01
1151,3.795598e-09,-4.625871e-07,4.345890e-01
1152,3.766002e-09,-4.611463e-07,4.345804e-01
1153,3.736658e-09,-4.598144e-07,4.345718e-01
1154,3.707562e-09,-4.585895e-07,4.345631e-01
1155,3.678712e-09,-4.574699e-07,4.345544e-01
1156,3.650107e-09,-4.564536e-07,4.345456e-01
1157,3.621743e-09,-4.555389e-07,4.345369e-01
1158,3.593620e-09,-4.547240e-07,4.345280e-01
1159,3.565733e-09,-4.540070e-07,4.345192e-01
1160,3.538083e-09,-4.533862e-07,4.345103e-01
1161,3.510665e-09,-4.528600e-07,4.345013e-01
1162,3.483478e-09,-4.524265e-07,4.344924e-01
1163,3.456520e-09,-4.520840e-07,4.344834e-01
1164,3.429789e-09,-4.518310e-07,4.344743e-01
1165,3.403283e-09,-4.516657e-07,4.344652e-01
1166,3.377000e-09,-4.515865e-07,4.344561e-01
1167,3.350937e-09,-4.515917e-07,4.344470e-01
1168,3.325093e-09,-4.516798e-07,4.344378e-01
1169,3.299466e-09,-4.518492e-07,4.344286e-01
1170,3.274054e-09,-4.520983e-07,4.344194e-01
1171,3.248855e-09,-4.524255e-07,4.344101e-01
1172,3.223866e-09,-4.528294e-07,4.344008e-01
1173,3.199087e-09,-4.533084e-07,4.343915e-01
1174,3.174515e-09,-4.538610e-07,4.343822e-01
1175,3.150149e-09,-4.544858e-07,4.343728e-01
1176,3.125986e-09,-4.551812e-07,4.343634e-01
1177,3.102025e-09,-4.559459e-07,4.343539e-01
1178,3.078264e-09,-4.567784e-07,4.343445e-01
1179,3.054701e-09,-4.576773e-07,4.343350e-01
1180,3.031335e-09,-4.586412e-07,4.343255e-01
1181,3.008163e-09,-4.596688e-07,4.343159e-01
1182,2.985184e-09,-4.607586e-07,4.343064e-01
1183,2.962397e-09,-4.619094e-07,4.342968e-01
1184,2.939799e-09,-4.631198e-07,4.342871e-01
1185,2.917390e-09,-4.643885e-07,4.342775e-01
1186,2.895166e-09,-4.657142e-07,4.342678e-01
1187,2.873127e-09,-4.670957e-07,4.342581e-01
1188,2.851272e-09,-4.685316e-07,4.342484e-01
1189,2.829598e-09,-4.700207e-07,4.342387e-01
1190,2.808104e-09,-4.715619e-07,4.342289e-01
1191,2.786788e-09,-4.731538e-07,4.342192e-01
1192,2.765649e-09,-4.747953e-07,4.342093e-01
1193,2.744685e-09,-4.764852e-07,4.341995e-01
1194,2.723895e-09,-4.782223e-07,4.341897e-01
1195,2.703278e-09,-4.800055e-07,4.341798e-01
1196,2.682831e-09,-4.818336e-07,4.341699e-01
1197,2.662553e-09,-4.837054e-07,4.341600e-01
1198,2.642443e-09,-4.856200e-07,4.341501e-01
1199,2.622500e-09,-4.875762e-07,4.341402e-01
